
Analysis complete for Tbi-ARos_001_Ex1b_L4_1.fq.gz
Started analysis of Tbi-ARos_001_Ex1b_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_052_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_053_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_053_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_055_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_055_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_056_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_056_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_057_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_057_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_059_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_059_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_060_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_060_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_067_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_067_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_068_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_068_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_070_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_070_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_071_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_071_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_071_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_071_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_071_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_071_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_071_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_071_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_071_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_071_Ex1_L4_1.fq.gz
